Area,Ward,Number of schools,School,School URN,Year,Catchment area km2,Total road length in catchment,% of minor roads,Avg elevation,% of catchment in flood-risk zone,Road flood days per year,% of road length flooded at least once,Max flood duration,School population,Absence rate,Persistent absence,Avg lateness,School closure occured,Attainment score,Year-on-year attainment,YY value
Calderdale,,,Abbey Park Academy,140172,2015,18.9596,15.61,76.3,,1.689993816,,,,214,4.8,4.3,,,84%,,
Calderdale,,,Abbey Park Academy,140172,2023,18.9596,15.61,76.3,,1.689993816,,,,218,6.1,18,,,57%,,
Calderdale,,,"Abbey Park Junior, Infant and Nursery School",107498,2012,18.9596,,76.3,,1.689993816,,,,220,4.3,2.9,,,50%,,
Calderdale,,,Akroydon Primary Academy,143651,2018,,19.2,81,,0.602108941,,,,372,4.7,10.3,,,62%,,
Calderdale,,,All Saints' CofE Primary School,107569,2023,13.5122,12.59,57.4,,,,,,212,3.3,2.7,,,63%,,
Calderdale,,,All Saints' CofE VA Junior and Infant School,107569,2012,13.5122,12.59,57.4,,,,,,,,,,,97%,,
Calderdale,,,Ash Green Community Primary School,107534,2012,0.833288,19.34,82.7,,25.06545058,,,,451,4,1.8,,,72%,,
Calderdale,,,Ash Green Community Primary School,107534,2023,0.833288,19.34,82.7,,25.06545058,,,,487,8.2,26,,,62%,,
Calderdale,,,Bailiffe Bridge Junior and Infant School,107499,2012,5.591459,,,,2.379727684,,,,208,3.5,1.7,,,90%,,
Calderdale,,,Bailiffe Bridge Junior and Infant School,107499,2023,5.591459,,,,2.379727684,,,,198,3.4,5.2,,,67%,,
Calderdale,,,Barkisland CofE VA Primary School,107552,2012,0.933458,25.67,62,,13.23643273,,,,168,2.8,0,,,80%,,
Calderdale,,,Barkisland CofE VA Primary School,107552,2023,0.933458,25.67,62,,13.23643273,,,,193,3.5,3.5,,,58%,,
Calderdale,,,Beech Hill Junior and Infant School,137337,2012,7.42068,14.29,76.2,,2.706083299,,,,531,6.4,7.1,,,81%,,
Calderdale,,,Beech Hill School,137337,2023,7.42068,14.29,76.2,,2.706083299,,,,530,5.4,13.6,,,75%,,
West Lindsey,,,Blyton Cum Laughton Church of England School,120619,2012,33.48251,67.89,67.6,,0.336168051,,,,159,3.6,,,,83.0%,,
West Lindsey,,,Blyton Cum Laughton Church of England School,120619,2023,33.48251,67.89,67.6,,0.336168051,,,,132,6.4,14,,,63.0%,,
Calderdale,,,Bolton Brow Junior Infant and Nursery School,137392,2012,7.53872,11.55,67.5,,2.233144414,,,,246,4.2,3.3,,,70%,,
Calderdale,,,Bolton Brow Primary Academy,137392,2023,7.53872,11.55,67.5,,2.233144414,,,,240,3.8,5.4,,,73%,,
Calderdale,,,Bowling Green Academy,148202,2023,37.10222,,,,1.964222259,,,,147,4.3,7.9,,,77%,,
Calderdale,,,Bowling Green Primary School,107503,2012,37.10222,16.7,63.4,,1.964222259,,,,,,,,,87%,,
Calderdale,,,Bradshaw Primary School,107479,2012,1.8801,,,,9.250517075,,,,,,,,,88%,,
Calderdale,,,Bradshaw Primary School,137987,2013,1.8801,,,,9.250517075,,,,294,4.7,4,,,82%,,
Calderdale,,,Bradshaw Primary School,137987,2023,1.8801,,,,9.250517075,,,,341,4.9,11.3,,,67%,,
West Lindsey,,,Brocklesby Park Primary School,120442,2012,,,,,,,,,40,5.9,7.7,,,60.0%,,
West Lindsey,,,Brocklesby Park Primary School,120442,2014,,,,,,,,,17,2.7,0,,,,,
West Lindsey,,,Brocklesby Park Primary School,120442,2015,,,,,,,,,12,3.4,0,,,,,
Calderdale,,,Burnley Road Academy,137391,2023,1.18329,27.07,69.5,,1.474858997,,,,195,5.6,16.1,,,54%,,
Calderdale,,,Burnley Road Junior Infant and Nursery School,137391,2012,1.18329,27.07,69.5,,1.474858997,3,16.81,,222,4,3.9,,,80%,,
West Lindsey,,,Caistor CofE and Methodist Primary School,120590,2012,36.45079,103.5,54.9,,10.47097577,,,,253,3.7,1.2,,,83.0%,,
