CELL ID,School name,URN,Total road length in catchment,percentage of Motorway,percentage of A Road,percentage of B Road,percentage of Minor Roads,percentage of Unknown,Year,Flood Name,Start Date,End Date,Duration,Flooded Roads Ratio,Year.1,Flood Name.1,Start Date.1,End Date.1,Duration.1,Flooded Roads Ratio.1,Year.3,Flood Name.3,Start Date.3,End Date.3,Duration.3,Flooded Roads Ratio.3,Year.4,Flood Name.4,Start Date.4,End Date.4,Duration.4,Flooded Roads Ratio.4,Year.5,Flood Name.5,Start Date.5,End Date.5,Duration.5,Flooded Roads Ratio.5,Year.6,Flood Name.6,Start Date.6,End Date.6,Duration.6,Flooded Roads Ratio.6,Year.7,Flood Name.7,Start Date.7,End Date.7,Duration.7,Flooded Roads Ratio.7,Year.8,Flood Name.8,Start Date.8,End Date.8,Duration.8,Flooded Roads Ratio.8
36,Blyton Cum Laughton Church of England School,120619,67.89,0,8.7,6.1,67.6,17.6,2000,,,,,0,2002,,,,,0,2007,,,,,0,2013,Tidal Trent 5th December 2013,05/12/2013,06/12/2013,2 days,0.09,2019,,,,,0,2023,,,,,0,2024,,,,,0,2025,,,,,0
45,Caistor CofE and Methodist Primary School,120590,103.5,0,15.5,4.4,54.9,25.2,2000,,,,,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,,,,,0,2023,,,,,0,2024,,,,,0,2025,,,,,0
1,Cherry Willingham Primary School,120505,28.37,0,7.5,0.5,76,16.1,2000,,,,,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,,,,,0,2023,LNA_2023_10_Fluvial_Lower River Witham,20/10/2023,23/10/2023,4 days,0.82,2024,,,,,0,2025,,,,,0
32,Corringham CofE VC Primary School,120568,63.09,0,10.6,0,62.8,26.6,2000,,,,,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,,,,,0,2023,,,,,0,2024,,,,,0,2025,,,,,0
8,Dunholme St Chad's Church of England Primary School,120569,36.32,0,15.1,0,69.4,15.4,2000,,,,,0,2002,,,,,0,2007,LNA_2007_06_Welton Beck,26/06/2007,26/06/2007,1 days,0.25,2013,,,,,0,2019,LNA_2019_11_Barlings Eau,09/11/2019,30/11/2019,22 days,0,2023,LNA_2023_10_Fluvial_Barlings Eau,20/10/2023,23/10/2023,4 days,0,2024,,,,,0,2025,,,,,0
14,Ellison Boulters Church of England Primary School,138753,48.87,0,15.8,3.7,55.3,25.2,2000,,,,,0,2002,,,,,0,2007,LNA_2007_06_Barlings Eau,26/06/2007,26/06/2007,1 days,0.46,2013,,,,,0,2019,LNA_2019_11_Barlings Eau,08/11/2019,30/11/2019,23 days,0.21,2023,LNA_2023_10_Fluvial_Barlings Eau,20/10/2023,23/10/2023,4 days,1.31,2024,LNA_2024_01_Fluvial_Barlings Eau,02/01/2024,09/01/2024,8 days,0,2025,,,,,0
15,Ellison Boulters Church of England Primary School,138753,12.15,0,0,0,82.6,17.4,2000,,,,,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,LNA_2019_11_Barlings Eau,09/11/2019,30/11/2019,22 days,0,2023,LNA_2023_10_Fluvial_Barlings Eau,20/10/2023,23/10/2023,4 days,0,2024,,,,,0,2025,,,,,0
17,Faldingworth Community Primary School,120445,89.07,0,8.5,2.1,65.9,23.6,2000,,,,,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,,,,,0,2023,,,,,0,2024,,,,,0,2025,,,,,0
12,Fiskerton Church of England Primary School,120570,36.75,0,0,0,70.6,29.4,2000,,,,,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,LNA_2019_06_Barlings Eau,11/06/2019,19/06/2019,9 days,0,2023,LNA_2023_10_Fluvial_Lower River Witham,20/10/2023,23/10/2023,4 days,2.22,2024,LNA_2024_01_Fluvial_Barlings Eau,02/01/2024,09/01/2024,8 days,0.64,2025,,,,,0
24,Frances Olive Anderson Church of England (Aided) Primary School,120625,23.09,0,5.9,4.2,63.1,26.8,2000,Lower Trent 12 Nov 2000,12/11/2000,12/11/2000,1 days,0,2002,,,,,0,2007,,,,,0,2013,,,,,0,2019,,,,,0,2023,,,,,0,2024,Torksey to Lea January 2024,02/01/2024,10/01/2024,9 days,0.37,2025,,,,,0
