CELL ID,School name,Total road length in catchment,percentage of Motorway,percentage of A Road,percentage of B Road,percentage of Minor Roads,percentage of Unknown,Year,Flood Name,Start Date,End Date,Duration,Flooded Roads Ratio,Year.1,Flood Name.1,Start Date.1,End Date.1,Duration.1,Flooded Roads Ratio.1,Year.3,Flood Name.3,Start Date.3,End Date.3,Duration.3,Flooded Roads Ratio.3,Year.4,Flood Name.4,Start Date.4,End Date.4,Duration.4,Flooded Roads Ratio.4,Unnamed: 32,Unnamed: 33,Unnamed: 34,Year.5,Flood Name.5,Start Date.5,End Date.5,Duration.5,Flooded Roads Ratio.5,Year.6,Flood Name.6,Start Date.6,End Date.6,Duration.6,Flooded Roads Ratio.6,Flood Name.6 (2nd),Start Date.6 (2nd),End Date.6 (2nd),Duration.6 (2nd),Year.7,Flood Name.7,Start Date.7,End Date.7,Duration.7,Flooded Roads Ratio.7,Flood Name.7 (2nd),Start Date.7 (2nd),End Date.7 (2nd),Duration.7 (2nd),Year.8,Flood Name.8,Start Date.8,End Date.8,Duration.8,Flooded Roads Ratio.8,Flood Name.8 (2nd),Start Date.8 (2nd),End Date.8 (2nd),Duration.8 (2nd)
1,Holywell Green Primary School,16.7,0,0,9.2,63.4,27.4,2000,,,,,0,2002,,,,,0,2012,,,,,0,2015,,,,,0,,,,2019,,,,,0,2020,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,2.68,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
2,Cross Lane Primary and Nursery School,22.38,11.9,7.1,0,64,16.9,2000,,,,,0,2002,,,,,0,2012,,,,,0,2015,,,,,0,,,,2019,,,,,0,2020,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,0.13,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
3,Woodhouse Primary School,16.58,0,9.1,0,86,5,2000,,,,,0,2002,,,,,0,2012,,,,,0,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,9.74,,,,2019,,,,,0,2020,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,5.81,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
4,St Patrick's Catholic Primary Academy,8.62,0,0,9.6,82.5,7.9,2000,,,,,0,2002,,,,,0,2012,,,,,0,2015,,,,,0,,,,2019,,,,,0,2020,,,,,0,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
5,Old Earth Primary School,22.97,4.7,13,8.3,57.4,16.6,2000,,,,,0,2002,River Calder. Elland,2002/2/10,2002/2/13,4 days,1.02,2012,,,,,0,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,6.46,,,,2019,,,,,0,2020,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,2.75,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
6,"Elland Church of England (Voluntary Aided) Junior, Infant and Nursery School",25.59,0,9.9,12.6,64.6,12.9,2000,,,,,0,2002,River Calder. Elland,2002/2/10,2002/2/13,4 days,1.56,2012,,,,,0,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,19.35,,,,2019,,,,,0,2020,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,14.08,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
7,Field Lane Primary School,12.48,1.6,2.5,3.6,84.2,8.1,2000,,,,,0,2002,,,,,0,2012,,,,,0,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,0,,,,2019,,,,,0,2020,,,,,0,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
8,West Vale Academy,11.25,0,11.2,26.8,49.6,12.4,2000,,,,,0,2002,River Calder. Elland,2002/2/10,2002/2/13,4 days,0,2012,,,,,0,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,16.36,,,,2019,,,,,0,2020,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,5.79,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
9,Longroyde Primary School,14.33,0,12.5,0,79.9,7.7,2000,,,,,0,2002,River Calder. Elland,2002/2/10,2002/2/13,4 days,0,2012,,,,,0,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,5.21,,,,2019,,,,,0,2020,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,1.91,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
10,All Saints' CofE Primary School,12.59,0,18,0.3,57.4,24.3,2000,,,,,0,2002,,,,,0,2012,,,,,0,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,11.48,,,,2019,,,,,0,2020,2020 February Flood Incident - Storm Ciara/Dennis,2020/2/8,2020/3/19,41 days,0,2020 February Flood Incident - Storm Dennis,2020/2/15,2020/3/19,34 days,2021,,,,,0,,,,,2022,,,,,0,,,,
11,Barkisland CofE VA Primary School,25.67,0,0,22.7,62,15.3,2000,,,,,0,2002,,,,,0,2012,,,,,0,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,0,,,,2019,,,,,0,2020,,,,,0,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
12,The Greetland Academy,22.09,0,0,18.4,68.5,13.1,2000,,,,,0,2002,,,,,0,2012,,,,,0,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,0,,,,2019,,,,,0,2020,2020 February Flood Incident - Storm Ciara,2020/2/8,2020/2/14,7 days,0,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
13,Norland CE School,14.54,0,0,5,79.8,15.2,2000,,,,,0,2002,,,,,0,2012,,,,,0,2015,December 2015 Flood Event,2015/12/25,2015/12/29,5 days,5.37,,,,2019,,,,,0,2020,,,,,0,,,,,2021,,,,,0,,,,,2022,,,,,0,,,,
