time_period,time_identifier,la_name,num_spikes,total_rows,share_spiking,term_label
201819,Autumn term,Lincolnshire,0.0,1,0.0,201819 Autumn term
201819,Autumn term,North East Lincolnshire,0.0,1,0.0,201819 Autumn term
201819,Autumn term,North Lincolnshire,0.0,1,0.0,201819 Autumn term
201819,Spring term,Lincolnshire,1.0,1,1.0,201819 Spring term
201819,Spring term,North East Lincolnshire,1.0,1,1.0,201819 Spring term
201819,Spring term,North Lincolnshire,1.0,1,1.0,201819 Spring term
201819,Summer term,Lincolnshire,1.0,1,1.0,201819 Summer term
201819,Summer term,North East Lincolnshire,1.0,1,1.0,201819 Summer term
201819,Summer term,North Lincolnshire,1.0,1,1.0,201819 Summer term
201920,Autumn term,Lincolnshire,1.0,1,1.0,201920 Autumn term
201920,Autumn term,North East Lincolnshire,1.0,1,1.0,201920 Autumn term
201920,Autumn term,North Lincolnshire,1.0,1,1.0,201920 Autumn term
202021,Autumn term,Lincolnshire,0.0,1,0.0,202021 Autumn term
202021,Autumn term,North East Lincolnshire,1.0,1,1.0,202021 Autumn term
202021,Autumn term,North Lincolnshire,1.0,1,1.0,202021 Autumn term
202021,Spring term,Lincolnshire,1.0,1,1.0,202021 Spring term
202021,Spring term,North East Lincolnshire,1.0,1,1.0,202021 Spring term
202021,Spring term,North Lincolnshire,1.0,1,1.0,202021 Spring term
202223,Autumn term,Lincolnshire,1.0,1,1.0,202223 Autumn term
202223,Autumn term,North East Lincolnshire,1.0,1,1.0,202223 Autumn term
202223,Autumn term,North Lincolnshire,1.0,1,1.0,202223 Autumn term
202223,Spring term,Lincolnshire,1.0,1,1.0,202223 Spring term
202223,Spring term,North East Lincolnshire,1.0,1,1.0,202223 Spring term
202223,Spring term,North Lincolnshire,1.0,1,1.0,202223 Spring term
202223,Summer term,Lincolnshire,1.0,1,1.0,202223 Summer term
202223,Summer term,North East Lincolnshire,1.0,1,1.0,202223 Summer term
202223,Summer term,North Lincolnshire,1.0,1,1.0,202223 Summer term
202324,Autumn term,Lincolnshire,1.0,1,1.0,202324 Autumn term
202324,Autumn term,North East Lincolnshire,1.0,1,1.0,202324 Autumn term
202324,Autumn term,North Lincolnshire,1.0,1,1.0,202324 Autumn term
202324,Spring term,Lincolnshire,1.0,1,1.0,202324 Spring term
202324,Spring term,North East Lincolnshire,1.0,1,1.0,202324 Spring term
202324,Spring term,North Lincolnshire,1.0,1,1.0,202324 Spring term
202324,Summer term,Lincolnshire,1.0,1,1.0,202324 Summer term
202324,Summer term,North East Lincolnshire,1.0,1,1.0,202324 Summer term
202324,Summer term,North Lincolnshire,1.0,1,1.0,202324 Summer term
202425,Autumn term,Lincolnshire,1.0,1,1.0,202425 Autumn term
202425,Autumn term,North East Lincolnshire,1.0,1,1.0,202425 Autumn term
202425,Autumn term,North Lincolnshire,1.0,1,1.0,202425 Autumn term
202425,Spring term,Lincolnshire,1.0,1,1.0,202425 Spring term
202425,Spring term,North East Lincolnshire,1.0,1,1.0,202425 Spring term
202425,Spring term,North Lincolnshire,1.0,1,1.0,202425 Spring term
