DfE number,Establishment,Phase,Status,Head title,Head name,Address 1,Address 2,Address 3,Address 4,Postcode,School ward,Telephone,Website,Nursery,Number of pupils on roll,Census date,Eastings,Northings,Latitude,Longitude,Cluster,Trust name,Sponsor name,Federation name,UPRN
2005,Abbey Park Academy,Primary,Academy sponsor led,Headteacher,Ms Natasha Searby,Keighley Close,Illingworth,,Halifax,HX2 9DG,Illingworth and Mixenden,001422 246610,https://apa.northerneducationtrust.org/,Yes,207,02-Oct-25,406954,428786,53.75541,-1.89601,North Halifax,Northern Education Trust,Northern Education Trust,,010010175254
5201,All Saints' CofE Primary School,Primary,Voluntary aided school,Headteacher,Mrs Lauren Watson,Dudwell Lane,,,Halifax,HX3 0SD,Skircoat,001422 367140,www.allsaintsschoolhalifax.co.uk,No,210,02-Oct-25,409352,422704,53.7007,-1.85983,East Calderdale,,,,1.00052E+11
2093,Ash Green Community Primary School,Primary,Community school,Headteacher,Mr Mungo Sheppard,Mixenden Road,Mixenden,,Halifax,HX2 8QD,Illingworth and Mixenden,001422 244613,http://www.ashgreen.info,Yes,436,02-Oct-25,406208,428106,53.7493,-1.90734,North Halifax,,,,010033879744
2040,Bailiffe Bridge Junior and Infant School,Primary,Community school,Headteacher,Mr Craig Roberts,Victoria Road,Bailiff Bridge,,Brighouse,HD6 4DY,Hipperholme and Lightcliffe,001484 713039,www.bailiffebridgeschool.org.uk,No,179,02-Oct-25,414794,425320,53.7241,-1.77728,East Calderdale,,,,010010177301
3321,Barkisland CofE VA Primary School,Primary,Voluntary aided school,Headteacher,Mrs Becky Schofield,Scammonden Road,Barkisland,,Halifax,HX4 0BD,Ryburn,001422 823324,www.barkislandcofeschool.org.uk,Yes,196,02-Oct-25,405338,420015,53.67659,-1.92067,Sowerby Bridge,,,,010006736982
2019,Beech Hill School,Primary,Academy converter,Headteacher,Mrs Samantha Bowling Mrs Sara Cockroft,Mount Pleasant Avenue,,,Halifax,HX1 5TN,Park,001422 345004,www.beechhillschool.co.uk,Yes,541,02-Oct-25,408690,425636,53.72707,-1.86978,North Halifax,The Family Of Learning Trust,The Family Of Learning Trust,,010006742170
2063,Bolton Brow Primary Academy,Primary,Academy converter,Headteacher,Mr Paul Kelesidis,Bolton Brow,,,Sowerby Bridge,HX6 2BA,Sowerby Bridge,001422 831031,http://www.boltonbrow.com,Yes,220,02-Oct-25,406763,423884,53.71135,-1.89902,Sowerby Bridge,Together Learning Trust,Together Learning Trust,,010010179445
2048,Bowling Green Academy,Primary,Academy converter,Headteacher,Mr Jamie Stuttard,Stainland Road,Stainland,,Halifax,HX4 9HU,Greetland and Stainland,001422 374863,http://www.bowlinggreenacademy.org.uk,No,162,02-Oct-25,407670,419304,53.67017,-1.88539,Elland,Great Heights Academy Trust,Great Heights Academy Trust,,1.00052E+11
2004,Bradshaw Primary School,Primary,Academy converter,Headteacher,Headteacher Julia Baker,Ingham Lane,Bradshaw,,Halifax,HX2 9PF,Illingworth and Mixenden,001422 244283,www.bradshawprimaryschool.org,No,325,02-Oct-25,407617,430056,53.76681,-1.88593,North Halifax,The Family Of Learning Trust,The Family Of Learning Trust,,010010175246
5406,Brighouse High School,Secondary,Academy converter,Headteacher,Mr Richard Horsfield,Finkil Street,,,Brighouse,HD6 2NY,Brighouse,001484 710408,http://www.brighouse.calderdale.sch.uk,No,1329,02-Oct-25,414344,422983,53.71339,-1.79376,Secondary,Brighouse High School Academy Trust,,,1.00052E+11
